accession	taxon	species	completeness	n_SmLsm	n_Hfq
GCA_057308395.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308415.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057308435.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308455.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308475.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057308495.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308515.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308535.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.17	0	0
GCA_057308555.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308575.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308595.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057308615.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308635.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308655.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308675.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.45	0	0
GCA_057308715.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308735.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308755.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308775.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308795.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	73.28	0	0
GCA_057308815.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.19	0	0
GCA_057308835.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308855.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308875.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	71.39	0	0
GCA_057308915.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308935.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057308955.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057308975.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057308995.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057309015.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	78.53	0	0
GCA_057309035.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057311355.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057311375.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	67.55	0	0
GCA_057311385.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	79.55	0	0
GCA_057311415.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057311435.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	71.39	0	0
GCA_057311475.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057311495.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057311505.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057311535.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.01	0	0
GCA_057311555.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057311575.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.17	0	0
GCA_057311615.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057311635.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.7	0	0
GCA_057311655.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057311675.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	81.74	0	0
GCA_057311695.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	79.15	0	0
GCA_057311735.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057311755.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	78.46	0	0
GCA_057311775.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057311795.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.02	0	0
GCA_057311835.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057311855.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	77.9	0	0
GCA_057311875.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057311895.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057311915.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057311935.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	73.98	0	0
GCA_057311955.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	81.45	0	0
GCA_057311975.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	77.16	0	0
GCA_057311995.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.86	0	0
GCA_057312015.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.03	0	0
GCA_057312035.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057312055.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	75.99	0	0
GCA_057312075.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057312095.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057312115.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057312135.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.7	0	0
GCA_057312155.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057312175.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	86.05	0	0
GCA_057312195.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.68	0	0
GCA_057312215.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	79.15	0	0
GCA_057312255.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.17	0	0
GCA_057312275.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057318295.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	79.87	0	0
GCA_947086375.1	Saccharibacteria	Candidatus Minimicrobia sp. IHU4	61.12	0	0
GCA_977052205.1	Saccharibacteria	uncultured Candidatus Nanosyncoccus sp.	77.43	0	0
GCF_000392435.1	Saccharibacteria	Candidatus Saccharimonas aalborgensis	86.05	0	0
GCF_004138385.1	Saccharibacteria	Candidatus Nanosynsacchari sp. TM7_ANC_38.39_G1_1	72.83	0	0
GCF_004138395.1	Saccharibacteria	Candidatus Nanosyncoccus alces	79.86	0	0
GCF_004138405.1	Saccharibacteria	Candidatus Nanosyncoccus nanoralicus	72.18	0	0
GCF_004138445.1	Saccharibacteria	Candidatus Nanoperiomorbus periodonticus	77.59	0	0
GCF_004138455.1	Saccharibacteria	Candidatus Nanoperiomorbus periodonticus	75.86	0	0
GCF_004151455.1	Saccharibacteria	Candidatus Nanogingivalis gingivitcus	84.33	0	0
GCF_018866205.1	Saccharibacteria	Candidatus Minimicrobia vallesae	66.19	0	0
GCF_018866225.1	Saccharibacteria	Candidatus Minimicrobia naudis	56.89	0	0
GCF_025273655.1	Saccharibacteria	Candidatus Mycosynbacter amalyticus	87.77	0	0
GCF_030253535.1	Saccharibacteria	Candidatus Southlakia epibionticum	86.21	0	0
GCF_963967315.1	Saccharibacteria	Candidatus Minimicrobia sp. QA0096	89.66	0	0
